sent0,sent1,hard_neg
you know during the season and i guess at at your level uh you lose them to the next level if if they decide to recall the the parent team the Braves decide to call to recall a guy from triple A then a double A guy goes up to replace him and a single A guy goes up to replace him,You lose the things to the following level if the people recall.,They never perform recalls on anything.
One of our number will carry out your instructions minutely.,A member of my team will execute your orders with immense precision.,We have no one free at the moment so you have to take action yourself.
How do you know? All this is their information again.,This information belongs to them.,They have no information at all.
yeah i tell you what though if you go price some of those tennis shoes i can see why now you know they're getting up in the hundred dollar range,The tennis shoes can be in the hundred dollar range.,The tennis shoes are not over hundred dollars.
my walkman broke so i'm upset now i just have to turn the stereo up real loud,I'm upset that my walkman broke and now I have to turn the stereo up really loud.,My walkman still works as well as it always did.
"But a few Christian mosaics survive above the apse is the Virgin with the infant Jesus, with the Archangel Gabriel to the right (his companion Michael, to the left, has vanished save for a few feathers from his wings).",There are a few Christian mosaics left in the building.  ,There are no mosaics left in this place at all.  
(Read  for Slate 's take on Jackson's findings.),Slate had an opinion on Jackson's findings.,Slate did not hold any opinion on Jackson's findings.
Gays and lesbians.,Homosexuals.,Heterosexuals.
"At the end of Rue des Francs-Bourgeois is what many consider to be the city's most handsome residential square, the Place des Vosges, with its stone and red brick facades.",Place des Vosges is a very handsome area.,Place des Vosges is constructed entirely of gray marble.
"I burst through a set of cabin doors, and fell to the ground-",I burst through the doors and fell down.,I slipped through the doors quietly.
Fun for adults and children.,Fun for both adults and children.,Fun for only children.
It's not that the questions they asked weren't interesting or legitimate (though most did fall under the category of already asked and answered).,Most of the questions that were asked had already been answered.,"Every query that came up wasn't interesting or legitimate, but no one had asked them."
"Thebes held onto power until the 12th Dynasty, when its first king, Amenemhet Iwho reigned between 1980 1951 b.c. established a capital near Memphis.",King Amenemhet I established a capital near Memphis. ,"Thebes quickly lost the power it gained, relinquishing it long before the 11th Dynasty. "
"I don't mean to be glib about your concerns, but if I were you, I might be more concerned about the near-term rate implications of this $1.",The near-term implications are concerning.,I am concerned more about your issues than the near-term rate implications.
Issues in Data Synthesis.,Problems in data synthesis.,There aren't any problems at all when synthesizing data.
well you see that on television also,"You can see that on television, as well.",You could never see that on TV.
Vrenna and I both fought him and he nearly took us.,He nearly took us when both Vrenna and I fought him.,Neither Vrenna nor myself have ever fought him.
This analysis pooled estimates from these two studies to develop a C-R function linking PM to chronic bronchitis.,This study statistically links chronic bronchitis to PM.,The analysis proves that there is no link between PM and bronchitis.
He turned and smiled at Vrenna.,He smiled at Vrenna who was behind him.,"As he looked a Vrenna, she frowned and he turned back in tears."
We sought to identify practices that were commonly implemented by the agencies within the past 5 years.,We want to identify practices commonly used by agencies in the last 5 years,We don't want to identify any agent practices 
The other men shuffled.,The other men were shuffled around.,The other men were kept in their places.
States must show reasonable progress in their state implementation plans toward the congressionally mandated goal of returning to natural conditions in national parks and wilderness areas.,States need to display progress when trying to reach goals.,Itis not necessary for there to be any improvement.
well it's been very interesting,It has been very intriguing.,It hasn't been interesting.
He started slowly back to the bunkhouse.,He returned slowly to the bunkhouse.,He rushed back to the bunkhouse.
and it's it's quite a bit i think six something is the state and and uh the rest of the pie goes elsewhere but we're in a particular part of the state that's pretty well off so it's it's like we get a lot of that back as far as local taxation goes,The rest of it goes somewhere else in the state.,I am the tax collector for my city.
"They're made from a secret recipe handed down to the present-day villagers by their Mallorcan ancestors, who came here in the early 17th century as part of an official repopulation scheme.","In the 17th century, some Mallorcans arrived.",The recipe passed down from Mallorcan ancestors is known to everyone.
yeah well you're a student right,"You're a student though, right?",Yeah but you're not a student yet.
it really is i heard something that their supposed to be starting a huge campaign in New York about um child abuse and stopping child abuse and it's supposed to be like it's starting there supposed to be like a big nationwide campaign and you know so hopefully that will take off and really do something i don't know there's just,There will be a child abuse campaign starting in New York.,It's unfortunate that nobody is organizing a child abuse campaign.
Postal Service were to reduce delivery frequency.,The postal service could deliver less frequently.,The postal service could deliver twice a day.
"And in another shift in the economy, it was found that lamb could be raised more cost-effectively on lowland farms in part because of the richer, more nutritious grazing land available there and as a result Lakeland farms became less profitable.",Another shift in the economy was found to be more nutritious.,The economy was really bad and as such could not sustain the grazing land.
The rule contains information collection requirements which will allow EPA to determine that detergent additives which are effective in controlling deposits are used and that emission control goals are realized.,The rule has data collection requirements which aid the EPA to realize their emission control goals.,"The rule has no data collection requirements at all, so this won't help the EPA at all."
"Almost every hill has to the northeast there's a Moorish fort; no fewer than four ruined fortresses guard the harbour entrance; and two more, still in good repair the Atalaya and Galeras castles protect the sea-front arsenal, of vital importance to Spain's military.",There are castles Atalaya and Galeras.,There are no castles Atalaya and Galeras.
Were they in there?,Were they in that?,Were they not packed away over there?
